EmployeeID,EmployeeName,Email,ManagerID,Country,HierarchyPath
1001,USA Emp 1,usa.emp1@corp.com,,USA,1001
1002,USA Emp 2,usa.emp2@corp.com,1001.0,USA,1001.0|1002
1003,USA Emp 3,usa.emp3@corp.com,1002.0,USA,1002.0|1003
1004,USA Emp 4,usa.emp4@corp.com,1003.0,USA,1003.0|1004
1005,USA Emp 5,usa.emp5@corp.com,1004.0,USA,1004.0|1005
1006,UK Emp 1,uk.emp1@corp.com,,UK,1006
1007,UK Emp 2,uk.emp2@corp.com,1006.0,UK,1006.0|1007
1008,UK Emp 3,uk.emp3@corp.com,1007.0,UK,1007.0|1008
1009,UK Emp 4,uk.emp4@corp.com,1008.0,UK,1008.0|1009
1010,UK Emp 5,uk.emp5@corp.com,1009.0,UK,1009.0|1010
1011,Canada Emp 1,canada.emp1@corp.com,,Canada,1011
1012,Canada Emp 2,canada.emp2@corp.com,1011.0,Canada,1011.0|1012
1013,Canada Emp 3,canada.emp3@corp.com,1012.0,Canada,1012.0|1013
1014,Canada Emp 4,canada.emp4@corp.com,1013.0,Canada,1013.0|1014
1015,Canada Emp 5,canada.emp5@corp.com,1014.0,Canada,1014.0|1015
